2023-12-24 22:17:48.308 GMT [7320] LOG:  iniciando PostgreSQL 14.8, compiled by Visual C++ build 1914, 64-bit
2023-12-24 22:17:48.309 GMT [7320] LOG:  escuchando en la dirección IPv6 «::», port 5432
2023-12-24 22:17:48.310 GMT [7320] LOG:  escuchando en la dirección IPv4 «0.0.0.0», port 5432
2023-12-24 22:17:48.414 GMT [8336] LOG:  el sistema de bases de datos fue interrumpido; última vez en funcionamiento en 2023-12-23 23:12:30 GMT
2023-12-24 22:17:49.446 GMT [8336] LOG:  el sistema de bases de datos no fue apagado apropiadamente; se está efectuando la recuperación automática
2023-12-24 22:17:49.449 GMT [8336] LOG:  redo comienza en 0/2ABE460
2023-12-24 22:17:49.449 GMT [8336] LOG:  largo de registro no válido en 0/2ABE548: se esperaba 24, se obtuvo 0
2023-12-24 22:17:49.449 GMT [8336] LOG:  redo listo en 0/2ABE510 utilización del sistema: CPU: usuario: 0.00 s, sistema: 0.00 s, transcurrido: 0.00 s
2023-12-24 22:17:49.476 GMT [7320] LOG:  el sistema de bases de datos está listo para aceptar conexiones
