2023-12-08 01:46:32.944 GMT [6988] LOG:  iniciando PostgreSQL 14.8, compiled by Visual C++ build 1914, 64-bit
2023-12-08 01:46:32.945 GMT [6988] LOG:  escuchando en la dirección IPv6 «::», port 5432
2023-12-08 01:46:32.945 GMT [6988] LOG:  escuchando en la dirección IPv4 «0.0.0.0», port 5432
2023-12-08 01:46:33.143 GMT [7516] LOG:  el sistema de bases de datos fue apagado en 2023-12-07 21:30:03 GMT
2023-12-08 01:46:33.283 GMT [6988] LOG:  el sistema de bases de datos está listo para aceptar conexiones
2023-12-11 02:32:09.972 GMT [20128] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-12-11 02:32:09.972 GMT [17356] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-12-11 02:32:09.972 GMT [25016] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-12-11 02:32:09.972 GMT [26056] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-12-11 02:32:09.972 GMT [24144] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-12-11 02:32:09.972 GMT [22580] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-12-11 02:32:09.972 GMT [21124] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
